#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
950	0.47500000000000037	-131544.82562323048	210.04149570005228	0.907
960	0.48000000000000037	-131331.31596343138	210.36461942930018	0.907
970	0.4850000000000004	-130853.3417633682	210.6263761123425	0.905
980	0.4900000000000004	-130548.52361596233	211.09368784908378	0.905
990	0.4950000000000004	-130360.28604439771	211.68698553441826	0.906
1000	0.5000000000000003	-130475.33544530981	212.92801298340487	0.906
1010	0.5049999999999998	-131009.38663747793	214.7987152703383	0.906
1020	0.5099999999999992	-129949.68727208916	214.23066883011484	0.907
1030	0.5149999999999987	-129117.69817711922	213.6468914188629	0.907
1040	0.5199999999999981	-129359.93287263933	214.9542142082815	0.907
1050	0.5249999999999976	-129205.59562366648	215.73634627948866	0.907
1060	0.529999999999997	-128618.99920135661	215.63858126590867	0.907
1070	0.5349999999999965	-128857.22412878796	216.88442120465	0.908
1080	0.5399999999999959	-128477.41898593851	217.26914876069483	0.908
1090	0.5449999999999954	-128427.00711644106	217.77021972816408	0.908
1100	0.5499999999999948	-128550.7669012979	219.03620035061726	0.906
