#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"
79000	158.00000000002632	-384209.0276186823	300.95225181678506	1.0319230841001021	11.3
80000	160.00000000003587	-383922.96442634636	302.45026604215764	1.0293379552565807	11.3
81000	162.00000000004542	-383367.82339260186	300.1350953546294	1.0239294843214592	11.3
82000	164.00000000005497	-383562.51799546904	300.29828339843635	1.0252245172431824	11.3
83000	166.00000000006452	-383743.0526438534	299.1184457208025	1.0274292688731257	11.3
84000	168.00000000007407	-382531.3300351289	302.37269109275127	1.0263659488058152	11.3
85000	170.00000000008362	-383100.0854519827	303.0106801411361	1.0259026350171523	11.3
86000	172.00000000009317	-382239.60879697104	299.9037235053929	1.0236680311988553	11.3
87000	174.00000000010272	-382424.3986552224	300.74309795078574	1.0224939832596418	11.3
88000	176.00000000011227	-383304.5884036553	303.68644703482533	1.0201925213203866	11.3
89000	178.00000000012182	-384430.9822599086	302.54039154560246	1.0240970489958172	11.3
90000	180.00000000013137	-382968.564212979	298.4468936210685	1.0260548074807117	11.3
91000	182.00000000014091	-382246.23969431326	300.7850434021244	1.029582706919976	11.3
92000	184.00000000015046	-382887.4327855516	299.6737264903599	1.0250053977735867	11.3
93000	186.00000000016001	-383295.9525373734	300.8676249940224	1.0275339798059657	11.3
94000	188.00000000016956	-384106.2929583438	297.8296880116496	1.0270175618577317	11.3
95000	190.0000000001791	-383716.2280072298	302.88938821650004	1.0284488621084158	11.3
96000	192.00000000018866	-383183.65737519483	300.7461074428392	1.0279721903846368	11.3
97000	194.0000000001982	-384299.0574223544	302.6930652712886	1.0245075641779444	11.3
98000	196.00000000020776	-384384.44578745705	299.58654752693917	1.0258552570603836	11.3
99000	198.0000000002173	-383857.4081037191	303.51806063785165	1.0294221590162538	11.3
100000	200.00000000022686	-383809.8979602617	302.23453202227364	1.0273393414488459	11.3
101000	202.0000000002364	-383603.53206185607	299.11515825069637	1.0272224463625208	11.3
102000	204.00000000024596	-383638.09697648213	303.268449554804	1.0273373841501796	11.3
103000	206.0000000002555	-384405.26666998566	298.22674116975895	1.0264665821452792	11.3
104000	208.00000000026506	-384292.0696540488	298.59055945437785	1.026448051080021	11.3
105000	210.0000000002746	-384068.82833865815	298.5760974210856	1.0315720117174685	11.3
106000	212.00000000028416	-384413.5826555536	302.2164539422763	1.0295615913956537	11.3
107000	214.0000000002937	-384201.5037144316	302.8123802847519	1.0325376918458102	11.3
108000	216.00000000030326	-384380.39878381655	298.86161581143693	1.0310374991112021	11.3
109000	218.0000000003128	-384190.64430955844	304.3463219576167	1.0313227989573295	11.3
110000	220.00000000032236	-382989.5109390559	302.9751834731374	1.0269515334119292	11.3
